Republic of the Philippnes,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,,
Education Management Information System Division - Planning Service,,,,,,,,,,,,,,,,,,,
Number of Enrollment in Elementary level (ALL SECTOR) including PSO,,,,,,,,,,,,,,,,,,,
SY 2020-2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"(SECTOR: PUBLIC,PRIVATE,SUCsLUCs, and PSO)",,,,,,,,,,,,,,,,,,,
 Region , Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, Non-Grade (ES) ,, Total Elementary (K to 6) ,,
, Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Total 
 Region VIII - Eastern Visayas ,"52,348","47,638","50,056","43,623","55,245","51,791","53,538","49,788","45,718","41,177","48,378","45,180","48,775","45,678",828,537,"354,886","325,412","680,298"
 Region IX - Zamboanga Peninsula ,"40,385","36,879","44,646","39,622","45,822","42,608","44,085","41,317","37,700","35,067","38,656","36,831","40,106","38,481","1,777","1,145","293,177","271,950","565,127"
 Region X - Northern Mindanao ,"52,209","47,813","54,271","48,299","58,941","55,016","54,622","51,047","47,683","44,131","50,379","47,119","51,527","48,499","1,665","1,044","371,297","342,968","714,265"
 Region XI - Davao Region ,"49,507","45,911","51,677","45,892","55,686","52,439","53,904","50,798","43,132","39,215","50,160","47,815","51,425","49,807","2,005","1,228","357,496","333,105","690,601"
 Region XII - Soccsksargen ,"49,005","46,285","50,643","45,953","56,792","53,670","53,518","49,784","44,562","41,726","48,495","46,375","51,027","48,696",897,558,"354,939","333,047","687,986"
 CARAGA - CARAGA ,"31,243","29,099","31,849","27,724","35,207","32,829","32,871","30,353","28,343","25,712","31,172","28,986","31,266","29,808",904,610,"222,855","205,121","427,976"
 BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,"44,199","44,019","46,842","45,614","44,534","43,882","40,937","40,246","37,536","37,688","34,688","35,657","31,798","34,470",131,87,"280,665","281,663","562,328"
 CAR - Cordillera Administrative Region ,"16,589","15,212","15,397","13,486","18,074","17,000","16,728","15,358","14,572","13,171","16,147","14,774","16,544","15,715",400,206,"114,451","104,922","219,373"
 NCR - National Capital Region ,"82,147","78,242","91,356","83,217","98,195","92,251","95,783","89,172","82,853","77,649","87,859","83,769","91,716","88,938","6,189","3,078","636,098","596,316","1,232,414"
 PHILIPPINES TOTAL ,"998,507","929,112","1,012,942","898,153","1,118,848","1,049,694","1,069,986","995,541","894,764","822,233","968,932","914,649","1,000,294","953,236","34,003","20,354","7,098,276","6,582,972","13,681,248"
,,,,,,,,,,,,,,,,,,,
(SECTOR: PRIVATE),,,,,,,,,,,,,,,,,,,
 Region , Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, Non-Grade (ES) ,, Total Elementary (K to 6) ,,
, Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Total 
 Region I - Ilocos Region ,"2,433","2,495","2,335","2,241","2,964","2,995","3,005","2,767","2,483","2,375","2,679","2,699","3,464","3,050",32,14,"19,395","18,636","38,031"
 Region II - Cagayan Valley ,"2,136","1,983","1,536","1,377","1,993","1,881","1,846","1,744","1,684","1,563","1,855","1,618","2,038","1,816",8,12,"13,096","11,994","25,090"
 Region III - Central Luzon ,"5,870","5,900","6,485","6,206","8,557","8,388","8,559","8,181","8,197","7,810","9,093","8,742","10,715","10,524",56,24,"57,532","55,775","113,307"
 Region IV-A - CALABARZON ,"10,590","11,050","11,416","10,951","14,752","14,385","15,072","14,405","13,592","12,892","14,764","14,240","17,416","16,807",125,60,"97,727","94,790","192,517"
 Region IV-B - MIMAROPA ,"1,377","1,358","1,024",905,"1,280","1,175","1,174","1,046","1,048",929,"1,127","1,067","1,218","1,209",3,2,"8,251","7,691","15,942"
 Region V - Bicol Region ,"2,347","2,496","2,148","2,089","2,569","2,390","2,547","2,394","2,169","2,036","2,312","2,105","2,517","2,374",5,2,"16,614","15,886","32,500"
 Region VI - Western Visayas ,"5,272","5,298","3,149","2,914","3,879","3,626","4,034","3,696","3,430","3,236","3,717","3,520","4,397","4,149",19,1,"27,897","26,440","54,337"
 Region VII - Central Visayas ,"4,405","4,577","4,210","3,850","4,805","4,707","4,751","4,612","4,325","4,140","4,585","4,405","5,234","5,137",39,10,"32,354","31,438","63,792"
 Region VIII - Eastern Visayas ,"1,418","1,414","1,031",949,"1,300","1,158","1,258","1,113",983,949,"1,114","1,062","1,297","1,220",4, -   ,"8,405","7,865","16,270"
 Region IX - Zamboanga Peninsula ,"1,745","1,633","1,130","1,112","1,335","1,212","1,231","1,150","1,176","1,053","1,205","1,076","1,354","1,267",4,1,"9,180","8,504","17,684"
 Region X - Northern Mindanao ,"2,485","2,452","2,209","2,123","2,654","2,450","2,520","2,334","2,285","2,104","2,418","2,312","2,849","2,650",14,12,"17,434","16,437","33,871"
 Region XI - Davao Region ,"2,719","2,708","2,564","2,469","3,191","2,988","2,999","2,798","2,632","2,444","2,974","2,795","3,387","3,307",5, -   ,"20,471","19,509","39,980"
 Region XII - Soccsksargen ,"2,486","2,510","2,046","1,923","2,513","2,324","2,356","2,232","2,110","1,926","2,315","2,270","2,813","2,616",12,3,"16,651","15,804","32,455"
 CARAGA - CARAGA ,"1,427","1,414",880,762,"1,122",955,962,911,861,779,939,821,970,935,4,2,"7,165","6,579","13,744"
 BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,"2,883","2,899","2,938","2,816","2,385","2,392","2,193","2,140","2,003","1,955","1,752","1,863","1,619","1,788",4,5,"15,777","15,858","31,635"
 CAR - Cordillera Administrative Region ,"1,196","1,180","1,288","1,139","1,638","1,425","1,314","1,340","1,275","1,092","1,337","1,272","1,498","1,472",5,2,"9,551","8,922","18,473"
 NCR - National Capital Region ,"11,857","11,835","12,592","12,164","15,665","15,305","15,896","15,716","15,059","14,422","16,003","15,962","17,746","17,356",257,105,"105,075","102,865","207,940"
 PHILIPPINES TOTAL ,"62,646","63,202","58,981","55,990","72,602","69,756","71,717","68,579","65,312","61,705","70,189","67,829","80,532","77,677",596,255,"482,575","464,993","947,568"
,,,,,,,,,,,,,,,,,,,
(SECTOR: SUCsLUCs),,,,,,,,,,,,,,,,,,,
 Region , Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, Non-Grade (ES) ,, Total Elementary (K to 6) ,,
, Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Total 
 Region I - Ilocos Region ,92,123,105,125,121,150,141,127,116,99,119,153,145,146, -   , -   ,839,923,"1,762"
 Region II - Cagayan Valley , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Region III - Central Luzon ,3,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,1,4
 Region IV-A - CALABARZON ,48,45,74,92,96,111,113,121,107,124,132,128,135,144, -   , -   ,705,765,"1,470"
 Region IV-B - MIMAROPA ,27,26,56,68,58,62,57,71,50,66,68,67,58,66, -   , -   ,374,426,800
 Region V - Bicol Region , -   , -   ,29,23,35,35,33,27,17,17,34,30,49,50, -   , -   ,197,182,379
 Region VI - Western Visayas ,21,27,37,61,56,51,52,49,47,55,54,67,48,63, -   , -   ,315,373,688
 Region VII - Central Visayas , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   ,2
 Region VIII - Eastern Visayas ,12,28,44,46,34,52,47,47,43,49,39,49,47,44, -   , -   ,266,315,581
 Region IX - Zamboanga Peninsula , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Region X - Northern Mindanao ,16,24,29,17,37,35,33,45,27,46,38,48,39,46, -   , -   ,219,261,480
 Region XI - Davao Region , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Region XII - Soccsksargen ,4,5,14,10,22,9,17,12,15,5,20,11,14,12, -   , -   ,106,64,170
 CARAGA - CARAGA ,9,10,18,16,17,22,23,16,13,14,14,20,14,20, -   , -   ,108,118,226
 BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,53,47,132,174,151,141,175,166,156,181,199,156,150,216, -   , -   ,"1,016","1,081","2,097"
 CAR - Cordillera Administrative Region ,64,68,23,32,34,26,41,34,45,50,46,55,41,38, -   , -   ,294,303,597
 NCR - National Capital Region ,13,16,59,79,54,53,27,35,28,37,24,41,14,21, -   , -   ,219,282,501
 PHILIPPINES TOTAL ,362,420,620,743,715,747,761,750,664,743,787,825,754,866, -   , -   ,"4,663","5,094","9,757"
